game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
,2019-10-23,20-106,MIN,@,BRK,W (+1),,,,,,,,,,,,,,,,,,,,,,
,2019-10-25,20-108,MIN,@,CHO,W (+22),,,,,,,,,,,,,,,,,,,,,,
,2019-10-27,20-110,MIN,,MIA,W (+7),,,,,,,,,,,,,,,,,,,,,,
,2019-10-30,20-113,MIN,@,PHI,L (-22),,,,,,,,,,,,,,,,,,,,,,
,2019-11-02,20-116,MIN,@,WAS,W (+22),,,,,,,,,,,,,,,,,,,,,,
,2019-11-04,20-118,MIN,,MIL,L (-28),,,,,,,,,,,,,,,,,,,,,,
1,2019-11-06,20-120,MIN,@,MEM,L (-16),0,1:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
,2019-11-08,20-122,MIN,,GSW,W (+6),,,,,,,,,,,,,,,,,,,,,,
,2019-11-10,20-124,MIN,,DEN,L (-2),,,,,,,,,,,,,,,,,,,,,,
,2019-11-11,20-125,MIN,@,DET,W (+6),,,,,,,,,,,,,,,,,,,,,,
